tweet_id,isPolitical,is_retweet,retweeted_username,text,num_mentions,num_hashtags,num_retweets,num_favorites,user_id,user_screen_name,user_description,user_desc_entity,political_retweet,num_political_entities,num_political_keywords,total_interactions,political_words_proportion,platform,political_reply
1.59717E+18,Yes,0,None,@ankara_kusu Yeter ya ne Kılıçdaroğlu İmamoğlu nu istiyoruz. İmamoğlu olsun Kılıçdaroğlu da İmamoğlu nu desteklesin.,1,0,0,0,1.56434E+18,cananko84528005,,0,FALSE,0,2,0,0.181818182,Twitter for Android,0
1.4317E+18,No,0,None,@btwhocarees 10 dakikadır bunu düşünüyorum,0,0,0,0,1.0396E+18,selinanyjuice,,0,FALSE,0,0,0,0,Twitter for iPhone,0
1.56604E+18,Yes,0,None,"@RTErdogan #ÖncelikBizim
İnşallah yıılarca emek verdiğimiz okullara bizleri yok sayıp tecrübesiz elemanları almazsı… https://t.co/qhoyXx6cwg",1,1,1,1,1.34002E+18,elif48806768,#Hak ve adalet elbet birgün yerini bulacak!. günü geldiğinde hesap sorulacak!.🤲🤲🤲,3,FALSE,1,0,2,0.142857143,Twitter for Android,1
1.59154E+18,Yes,0,None,SÜLEYMAN SOYLU ADAMDIR,0,0,0,2,501976568,_er_bayrak_,"@_Er_Vatan Yedek Hesap
                                         Read, think, apply, conclude                               Oku, düşün, uygula, neticelendir.!",1,FALSE,0,2,2,0.666666667,Twitter for Android,0
1.5839E+18,Yes,0,None,@Akparti Allah seni başımızdan eksik etmesin inşallah reisim,1,0,0,1,1.45696E+18,ahin_yuksel,"Araştır daha araştır ve sorgula. Zihin süzgecinden geçir.

Şampiyon Trabzon 💪🏼😎👍🏼",0,FALSE,0,3,1,0.375,Twitter for Android,0
1.59691E+18,Yes,0,None,"@varank Sayın bakanım,  Bodrumdaki bu araziyi ne yapacaksınız?? https://t.co/F3GnV9JBL6",1,0,0,0,1.58608E+18,sayariahmet,,0,FALSE,1,2,0,0.444444444,Twitter Web App,1
1.58608E+18,Yes,0,None,"@suleymansoylu Türkiye Yüzyılı

Birlik beraberlik ve huzur dolu bir yüzyıl.",1,0,0,0,1.40598E+18,ayegler04441851,🇹🇷кüℓℓι̇ує тт ι̇ѕтι̇şαяє🇹🇷,1,FALSE,1,1,0,0.3,Twitter for Android,1
1.59334E+18,Yes,0,None,@NumanKurtulmus Eskişehirimize hoşgeldiniz Başkanım.,1,0,0,0,7.20291E+17,rukiyeyazici1,,0,FALSE,1,3,0,1.25,Twitter for Android,1
1.58767E+18,Yes,0,None,@alimahir Evet biliyoruz.. Ülkeyi vesayete teslim etme mücadelesi partisidir.,1,0,0,2,1327589252,bboratay,,0,FALSE,1,2,2,0.444444444,Twitter for iPhone,1
1.59658E+18,Yes,0,None,"Pençe-Kilit Harekatı bölgesinde yıldırım düşmesi sonucu yaralanan asker şehit oldu
https://t.co/hafdUJxJlz",0,0,3,4,253702889,aydinlikgazete,Emek - Namus - Vatan,1,FALSE,0,0,7,0,TweetDeck,0
1.4415E+18,No,0,None,Çalınan sözlerim olsun hayallerime dokunmayın,0,0,0,7,1.30939E+18,bekir43029012,makü,0,FALSE,0,0,7,0,Twitter for Android,0
1.59749E+18,No,0,None,İzmir açıklarında 167 düzensiz göçmen kurtarıldı  https://t.co/gszzd1iYdi,0,0,0,11,227633607,benguturktv,"BENGÜ TÜRK RESMİ TWITTER HESABI        
https://t.co/q1vJs0NdlL 
https://t.co/uj0zhFE2rZ 
https://t.co/X0lw5b2bTU",0,FALSE,0,0,11,0,Twitter for Android,0
1.58573E+18,No,0,None,@BnymndndR @tcbestepe @RTErdogan @TC_icisleri @tcsavunma Size tamamen katiliyorum,5,0,0,0,1.53934E+18,cananyl29674114,,0,FALSE,2,0,0,0.5,Twitter for Android,0
1.5762E+18,Yes,0,None,@kilicdarogluk Bu güne kadar yapılan bütün açıklamalar ve ödediğin bütün tazminatlar gösteriyor ki hep sen yalan söylemişsin bay Kemal,1,0,0,1,1.57001E+18,rkaya0025,,0,FALSE,2,2,1,0.333333333,Twitter for Android,1
1.59538E+18,Yes,0,None,"@varank @TBMMresmi Rabbim kolaylık versin razı olsun. 
🇹🇷🇹🇷🇹🇷❤️",2,0,0,0,1.53894E+18,mmetulem,"Akıncı

(metulem_34)
 kapanan hesap",0,FALSE,1,2,0,0.5,Twitter for Android,1
1.36098E+18,No,0,None,@m_cemilkilic Trtye cikaracaklarmis,1,0,0,0,1053611868,cocainbar,,0,FALSE,0,0,0,0,Twitter Web App,0
1.36896E+18,No,0,None,biz buradan devam ya https://t.co/vbCx6PHOgw,0,0,0,60,1.23884E+18,digilem,kusma var gülme var işeme var,0,FALSE,0,0,60,0,Twitter for iPhone,0
1.54937E+18,Yes,0,None,@NureddinNebati @RTErdogan Salla Nebati Sallaaa😁 20 yıl dir yapamadınız şimdi paçanız ıslandı diye yenimi ülkeyi dü… https://t.co/kvGbwtnfXg,2,0,0,0,1.43096E+18,asilcumhuriyet,,0,FALSE,2,1,0,0.294117647,Twitter for Android,1
1.38742E+18,No,0,None,"otomobil ters döndü:2 yaralı
https://t.co/5OiB1wkb3I https://t.co/yScOncgsXv",0,0,0,2,844247359,gazeteyenigun,Diyarbakır Yenigün Gazetesi (Günlük Gazete),0,FALSE,0,0,2,0,Twitter Web App,0
1.59645E+18,Yes,0,None,@celebimehmeta Gonullu nasil katildin iskence ile sorgulamalara sende mi girdin? Gonullu nasil oluyor oyle her isteyen gonullu katiliyor mu?,1,0,0,0,1.58494E+18,eyluley25575867,,0,FALSE,1,0,0,0.125,Twitter for Android,1
1.42469E+18,No,0,None,@nurtenn62 Manavcıymış,1,0,0,2,1.40877E+18,brk_shodaw,GALATASARAY 🦁,0,FALSE,0,0,2,0,Twitter for iPhone,0
1.59406E+18,Yes,0,None,"@belginuygur10 @Bayramburdur @yasinugurmv @nurcan_dalbudak @AKGMTeskilat DinlemedenAğır CezaVerdiler ✌️
@RTErdogan… https://t.co/Xe4qUlXx1I",6,0,4,1,1.46193E+18,ygzunsl,,0,FALSE,4,2,5,1,Twitter for Android,1
