tweet_id,isPolitical,is_retweet,retweeted_username,text,num_mentions,num_hashtags,num_retweets,num_favorites,user_id,user_screen_name,user_description,user_desc_entity,political_retweet,num_political_entities,num_political_keywords,total_interactions,political_words_proportion,platform,political_reply
1597170281545551872,Yes,0,None,@ankara_kusu Yeter ya ne Kılıçdaroğlu İmamoğlu nu istiyoruz. İmamoğlu olsun Kılıçdaroğlu da İmamoğlu nu desteklesin.,1,0,0,0,1564335223395033089,cananko84528005,,0,FALSE,0,2,0,0.1818181818,Twitter for Android,0
1431700027471192069,No,0,None,@btwhocarees 10 dakikadır bunu düşünüyorum,0,0,0,0,1039600330521145350,selinanyjuice,,0,FALSE,0,0,0,0,Twitter for iPhone,0
1566035577090281472,Yes,0,None,"@RTErdogan #ÖncelikBizim
İnşallah yıılarca emek verdiğimiz okullara bizleri yok sayıp tecrübesiz elemanları almazsı… https://t.co/qhoyXx6cwg",1,1,1,1,1340017324531789827,elif48806768,#Hak ve adalet elbet birgün yerini bulacak!. günü geldiğinde hesap sorulacak!.🤲🤲🤲,3,FALSE,1,0,2,0.1428571429,Twitter for Android,1
1591538690869940225,Yes,0,None,SÜLEYMAN SOYLU ADAMDIR,0,0,0,2,501976568,_er_bayrak_,"@_Er_Vatan Yedek Hesap
                                         Read, think, apply, conclude                               Oku, düşün, uygula, neticelendir.!",1,FALSE,0,2,2,0.6666666667,Twitter for Android,0
1583898169238167554,Yes,0,None,@Akparti Allah seni başımızdan eksik etmesin inşallah reisim,1,0,0,1,1456959280297521156,ahin_yuksel,"Araştır daha araştır ve sorgula. Zihin süzgecinden geçir.

Şampiyon Trabzon 💪🏼😎👍🏼",0,FALSE,0,3,1,0.375,Twitter for Android,0
1596914274907348992,Yes,0,None,"@varank Sayın bakanım,  Bodrumdaki bu araziyi ne yapacaksınız?? https://t.co/F3GnV9JBL6",1,0,0,0,1586083256088371201,sayariahmet,,0,FALSE,1,2,0,0.4444444444,Twitter Web App,1
1586078823736840192,Yes,0,None,"@suleymansoylu Türkiye Yüzyılı

Birlik beraberlik ve huzur dolu bir yüzyıl.",1,0,0,0,1405982333430292482,ayegler04441851,🇹🇷кüℓℓι̇ує тт ι̇ѕтι̇şαяє🇹🇷,1,FALSE,1,1,0,0.3,Twitter for Android,1
1593337764510142465,Yes,0,None,@NumanKurtulmus Eskişehirimize hoşgeldiniz Başkanım.,1,0,0,0,720290878892470272,rukiyeyazici1,,0,FALSE,1,3,0,1.25,Twitter for Android,1
1587669897240354817,Yes,0,None,@alimahir Evet biliyoruz.. Ülkeyi vesayete teslim etme mücadelesi partisidir.,1,0,0,2,1327589252,bboratay,,0,FALSE,1,2,2,0.4444444444,Twitter for iPhone,1
1596582972500897792,Yes,0,None,"Pençe-Kilit Harekatı bölgesinde yıldırım düşmesi sonucu yaralanan asker şehit oldu
https://t.co/hafdUJxJlz",0,0,3,4,253702889,aydinlikgazete,Emek - Namus - Vatan,1,FALSE,0,0,7,0,TweetDeck,0
1441499580441497606,No,0,None,Çalınan sözlerim olsun hayallerime dokunmayın,0,0,0,7,1309389725321564160,bekir43029012,makü,0,FALSE,0,0,7,0,Twitter for Android,0
1597488580729131008,No,0,None,İzmir açıklarında 167 düzensiz göçmen kurtarıldı  https://t.co/gszzd1iYdi,0,0,0,11,227633607,benguturktv,"BENGÜ TÜRK RESMİ TWITTER HESABI        
https://t.co/q1vJs0NdlL 
https://t.co/uj0zhFE2rZ 
https://t.co/X0lw5b2bTU",0,FALSE,0,0,11,0,Twitter for Android,0
1576204635706363904,Yes,0,None,@kilicdarogluk Bu güne kadar yapılan bütün açıklamalar ve ödediğin bütün tazminatlar gösteriyor ki hep sen yalan söylemişsin bay Kemal,1,0,0,1,1570006865622310912,rkaya0025,,0,FALSE,2,2,1,0.3333333333,Twitter for Android,1
1595378646176382976,Yes,0,None,"@varank @TBMMresmi Rabbim kolaylık versin razı olsun. 
🇹🇷🇹🇷🇹🇷❤️",2,0,0,0,1538942674530709504,mmetulem,"Akıncı

(metulem_34)
 kapanan hesap",0,FALSE,1,2,0,0.5,Twitter for Android,1
1360982890570539011,No,0,None,@m_cemilkilic Trtye cikaracaklarmis,1,0,0,0,1053611868,cocainbar,,0,FALSE,0,0,0,0,Twitter Web App,0
1368959859077611526,No,0,None,biz buradan devam ya https://t.co/vbCx6PHOgw,0,0,0,60,1238842467539132424,digilem,kusma var gülme var işeme var,0,FALSE,0,0,60,0,Twitter for iPhone,0
1549372704721195009,Yes,0,None,@NureddinNebati @RTErdogan Salla Nebati Sallaaa😁 20 yıl dir yapamadınız şimdi paçanız ıslandı diye yenimi ülkeyi dü… https://t.co/kvGbwtnfXg,2,0,0,0,1430963339719585797,asilcumhuriyet,,0,FALSE,2,1,0,0.2941176471,Twitter for Android,1
1387422101469073411,No,0,None,"otomobil ters döndü:2 yaralı
https://t.co/5OiB1wkb3I https://t.co/yScOncgsXv",0,0,0,2,844247359,gazeteyenigun,Diyarbakır Yenigün Gazetesi (Günlük Gazete),0,FALSE,0,0,2,0,Twitter Web App,0
1596451666882330625,Yes,0,None,@celebimehmeta Gonullu nasil katildin iskence ile sorgulamalara sende mi girdin? Gonullu nasil oluyor oyle her isteyen gonullu katiliyor mu?,1,0,0,0,1584940700453453824,eyluley25575867,,0,FALSE,1,0,0,0.125,Twitter for Android,1
1424690109014753286,No,0,None,@nurtenn62 Manavcıymış,1,0,0,2,1408770381289340928,brk_shodaw,GALATASARAY 🦁,0,FALSE,0,0,2,0,Twitter for iPhone,0
1594056267999346690,Yes,0,None,"@belginuygur10 @Bayramburdur @yasinugurmv @nurcan_dalbudak @AKGMTeskilat DinlemedenAğır CezaVerdiler ✌️
@RTErdogan… https://t.co/Xe4qUlXx1I",6,0,4,1,1461933603353415681,ygzunsl,,0,FALSE,4,2,5,1,Twitter for Android,1
1443220226968018954,Yes,0,None,"9 Kasım 2016 günü başlattığı Yüksel Direnişi 1780. gününde. Sadece kendi işleri için değil, adalet arayanların sesi… https://t.co/01QzyrtMCg",0,0,9,38,1212454320068710401,direncicegii,"İnsan,doğanın kendi bilincine ulaştığı nokta.",0,FALSE,0,1,47,0.05555555556,Twitter Web App,0
1445075713237917699,No,0,None,"Peki #WhatsApp çöktğ analdık ta, türktelekoma ne olıyor, hiç fırsatı kaçırmıyor #turktelekom",0,2,0,0,4468940788,espirik31,,0,FALSE,0,0,0,0,Twitter for Android,0
