user_id,user_name,user_screen_name,user_location,user_description,user_followers_count,user_friends_count,user_defphoto,user_default_profile,user_statuses_cnt,user_verification,description_len,followers_to_all_ratio,tweets_per_day,fav_per_day,friends_per_day,follower_per_day,isProtected,user_favorites_count,username_numbers,public_lists,account_age,user_network,retweet_total_ratio,num_median_favorites,num_median_retweets,num_of_tweets,num_of_retweets,avg_mins_between_tweets,screen_name,isBot
1431241870848450577,Nasreena Khan Wazir,nasreenakhan006,"Islamabad, Pakistan",Student,65,185,FALSE,TRUE,2551,FALSE,7,0.26,4.982421875,34.5234375,0.361328125,0.126953125,FALSE,17676,3,0,512,21.897,0.3959390863,0,0,197,78,271.8367347,nasreenakhan006,No
1304340303080386560,fania :((((,scorpiehoez,bogor,have a holly jolly🎄,8235,3011,FALSE,TRUE,42771,FALSE,19,0.7322603592,49.61832947,17.9512761,3.493039443,9.553364269,FALSE,15474,0,11,862,72.218,0.125,0,0,200,25,144.7236181,scorpiehoez,No
1116042038577958914,Yusuf Aksoy,yusufak63712920,,"Bir şeyden pişmanlık duymak istemiyorsan,her şey (ALLAH)için yap",95,399,FALSE,TRUE,14300,FALSE,64,0.1923076923,10.34732272,13.18379161,0.2887120116,0.06874095514,FALSE,18220,8,0,1382,27.343,0.91,0,8,200,182,14.47236181,yusufak63712920,Yes
4859899931,Be (VIXX6) ama oppalarının düğününe gidemiyor,nedenburdaysam,Hufflepuff ortak salon,"SMStan
/St☆rlight ///come on girls,this is our generation/// æspa",40,83,FALSE,TRUE,21303,FALSE,65,0.325203252,8.357395057,10.59199686,0.03256178894,0.0156924284,FALSE,26999,0,5,2549,16.457,0.01530612245,1,0,196,3,465.2307692,nedenburdaysam,No
2225373636,SLMDMR,biologselim,,"BİYOLOG🔬🦠
Nanoteknoloji",100,98,FALSE,TRUE,1629,FALSE,23,0.5050505051,0.4880167765,0.6527860995,0.02935889754,0.02995805872,FALSE,2179,0,0,3338,21.206,0.6598984772,0,25,197,130,455.5102041,biologselim,No
1249651167078088708,Pınar Aslan,pinaraslan4558,"İstanbul, Türkiye","Bir varmış, bir yokmuş..",9105,5270,FALSE,TRUE,24755,FALSE,24,0.6333913043,24.43731491,116.201382,5.2023692,8.988153998,FALSE,117712,4,3,1013,78.133,0.575,0,24,200,115,43.41708543,pinaraslan4558,No
436894338,HÜSEYİN OĞUR TÜRKİYEM🇹🇷,hseynugur,HüseyinOğur🟢🇹🇷,🇹🇷MESELE VATAN İSE GERİSİ TEFERRUAT. t🇹🇷🙋🇹🇷,5286,4947,FALSE,FALSE,124402,FALSE,43,0.5165640575,30.67110454,11.78550296,1.219674556,1.303254438,FALSE,47802,0,14,4056,72.931,0.98,0,334.5,200,196,21.70854271,hseynugur,Yes
306919165,ÖMER AKDAĞ,omerakdag34,,"Empati yap ama herkesi kendin gibi ""temiz"" zannetme!",5961,0,FALSE,TRUE,8339,FALSE,52,1,1.959351504,0.4628759398,0,1.400610902,FALSE,1970,2,6,4256,0,0.01,31.5,3,200,2,962.4120603,omerakdag34,No
967880643446280192,seda,bensuveyda_,Y🤍,bilmiyorum,1072,658,FALSE,TRUE,9139,FALSE,10,0.6196531792,5.102735902,84.85929648,0.3673925181,0.598548297,FALSE,151983,0,1,1791,45.294,0.196969697,1,0,198,39,197.3604061,bensuveyda_,No
1383844547856191490,Pnr BKR,diyabetliannesi,,,80,132,FALSE,TRUE,2006,FALSE,0,0.3773584906,3.119751166,0.5847589425,0.2052877138,0.1244167963,FALSE,376,0,0,643,21.487,1,0,28,200,200,57.88944724,diyabetliannesi,Yes
1383865660313280513,yörükoğlu,yorukoglu799,,,4367,5002,FALSE,TRUE,26151,FALSE,0,0.4661116448,40.67029549,45.69051322,7.779160187,6.791601866,FALSE,29379,3,0,643,71.398,0.8291457286,0,18,199,165,29.09090909,yorukoglu799,No
1341321681718161411,Bilgin,bilgin21604923,,VİCDAN İNSANIN İÇİNDEKİ TANRIDIR.,5552,5639,FALSE,TRUE,5038,FALSE,33,0.4961129479,6.628947368,7.794736842,7.419736842,7.305263158,FALSE,5924,8,0,760,74.477,0.432160804,0,0,199,86,341.8181818,bilgin21604923,No
1400042054739234817,alaraaa,alaraaynncnm,,,0,0,FALSE,TRUE,15,FALSE,0,0,0.02508361204,0.008361204013,0,0,FALSE,5,0,0,598,0,0,0,0,15,0,1851.428571,alaraaynncnm,No
1345380388634566657,Gül,gl21509653,,...,189,255,FALSE,TRUE,4587,FALSE,3,0.4256756757,6.124165554,7.304405874,0.3404539386,0.2523364486,FALSE,5471,8,0,749,29.095,0.665,0,11,200,133,108.5427136,gl21509653,Yes
124726283,Suna Yildizoglu,sunayildizoglu,Istanbul,"Anonim - 'Alıştığın kadar esir, vaz geçebildiğin kadar özgürsün.'",127841,2546,FALSE,FALSE,83875,FALSE,65,0.9804735135,17.88379531,23.75778252,0.5428571429,27.25820896,FALSE,111424,0,106,4690,92.226,0.1313131313,1,0,198,26,95.02538071,sunayildizoglu,No
1392453849907093508,Sydney,_sydneycarton_,,,48,43,FALSE,TRUE,3850,FALSE,0,0.5274725275,6.219709208,27.25686591,0.06946688207,0.07754442649,FALSE,16872,0,0,619,14.727,0.025,1,0,200,5,72.36180905,_sydneycarton_,No
1472562452470583296,İbrahim güven,brahimg77016159,,,2,17,TRUE,TRUE,793,FALSE,0,0.1052631579,1.992462312,1.628140704,0.04271356784,0.005025125628,FALSE,648,8,0,398,3.176,0,0,0,200,0,332.8643216,brahimg77016159,No
